name	SRR6066071	SRR6066072	SRR6066073	SRR6066074	SRR6066075	SRR6066076	SRR6066077	SRR6066078	SRR6066079	SRR6066080	SRR6066081	SRR6066082	SRR6066083	SRR6066084	SRR6066085	SRR6066086	SRR6066087	SRR6066088	SRR6066089	SRR6066090	SRR6066091	SRR6066092	SRR6066093	SRR6066094	SRR6066095	SRR6066096	SRR6066097	SRR6066098	SRR6066099	SRR6066100	SRR6066101	SRR6066102	SRR6066103	SRR6066104	SRR6066105	SRR6066106	SRR6066107	SRR6066108	SRR6066109	SRR6066110	SRR6066111	SRR6066112	SRR6066113	SRR6066114	SRR6066115	SRR6066116	SRR6066117	SRR6066137	SRR6066138	SRR6066139	SRR6066141	SRR6066142	SRR6066143	SRR6066144	SRR6066145	SRR6066146	SRR6066147	SRR6066148	SRR6066149	SRR6066150	SRR6066151	SRR6066152	SRR6066153	SRR6066154	SRR6066155	SRR6066156	SRR6066157	SRR6066168	SRR6066169	SRR6066170	SRR6066171	SRR6066172	SRR6066173	SRR6066174	SRR6066175	SRR6066176	SRR6066177
Bifidobacterium_longum	0.39796	0.08204	0	0.00535	0	5.62684	1.12851	0	0.11806	0	0.20102	0	0.0672	13.48979	1.48616	0	0.07712	0.38412	0	0.43905	1.24571	0.08822	0.23729	1.10379	0.21807	2.20755	0.54243	0.12233	0.79726	1.38163	0	0	0	0.60216	0.03969	0.17406	0.26834	0.16627	45.98312	0.08518	0	0.04757	0	0.16027	0.02733	0	0	0	3.14652	0	0	0	0	0	0	0.08762	0	0.70819	0.16225	0.83697	0.1568	0.00553	0.24491	0.22118	0	0.11746	0	0.13895	0.00792	0.07962	0.35578	0.45421	1.51139	0	0.06028	2.51633	0.08952
Bacteroides_eggerthii	0.30703	0	0	0	0	0.5699	0	0	0	0	0	5.05591	0.00264	0	0	0.09623	0	0	0	2.87624	0	0	0	0	5.91207	0	0	0.24872	0	0	0.38244	0	0	0	0	0	3.71101	0	0	0	0	0	0	0	2.01945	0	0	0	12.88342	0.06547	0	0	0	1.08327	0	2.02203	0	0	4.89628	0	0.10652	0	0	0	0	0	0	0	0	0.03152	0.00587	0	0	0	0	0	6.26796
Clostridium_sp_AM33_3	0.24308	0.05327	0	0.39199	0	0	0.00583	0	0.12042	0.07619	0.08407	0.271	0.15121	0.0261	0.11532	0	0	0	0	0.50581	0.27562	0.03036	0.06224	0.25471	0.02689	0.10468	0.04434	0	0.44535	0.31281	0.07296	0	0.025	0.05184	0	0	0	0.0446	0	0.03206	0.02798	0.11115	0	0	0.03486	0	0	0	0	0.16889	0.06847	0	0	0.0458	0	0	0	0	0.08702	0	0.13863	0.12561	0.04521	0.04837	0.08112	0.16028	0	0.09566	0.07992	0.05342	0.11992	0.15152	0.01569	0.31597	0.07073	0.03601	0.22568
Butyricimonas_faecihominis	0.23037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19182	0	0	0	0	0	0	0	0.09072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25715	0	0	0	0.01608	0.24346	0	0.02379	0	0	0	0	0	0	0	0	0	0	0.25942	0	0	0	0	0.21913	0	0.04234	0	0.33954	0.03896	0.09255	0	0	0
Alistipes_onderdonkii	0.21095	0.31713	0	0	0	0	0	4.13127	0.0762	0.3079	0	0	0	0	0.00408	0	0	0.88804	0.18797	0.01061	0.21724	0	0	0.0205	0.18303	0.65639	0	0	0	0.20348	0.22178	0	0.80791	0	0	0.21184	0	1.00197	0	1.18521	0	0	0	0.59697	0.9975	0	0	0.28013	0	0.83213	0	0	0	0.1231	0	1.51503	0.23073	0.01974	0.33043	0	0.19134	0.12356	0.101	0	0	0.64773	0	0.03629	0.02528	0.78575	0	0.05072	0.50668	0.07029	0.06146	0.14758	0.08131
Faecalibacterium_prausnitzii	0.17222	0.01656	26.52253	3.10901	7.48379	21.86431	1.00807	5.71414	7.62336	1.22121	17.33717	0.21318	8.89418	10.9061	3.72277	0	13.35458	2.57247	0	13.02978	3.97124	1.45444	2.40282	4.3966	4.42488	3.63793	4.84898	3.4412	0.22163	4.04737	10.21127	2.52718	3.20084	2.54633	1.08538	4.44838	7.6822	15.91082	4.82484	3.86641	2.38788	2.93449	0	5.85282	3.39446	16.10691	2.12169	0	21.20816	0	0.42743	0.73942	0.0299	5.41529	0	6.12475	0	2.89428	6.16789	1.40434	4.55699	3.97079	2.09765	9.50409	3.00702	2.47501	0.78556	2.70959	1.9948	2.59831	3.58908	10.71026	4.2828	1.93632	2.03383	8.6817	2.11598
Bacteroides_ovatus	0.16097	0	0	3.57553	1.269	1.81839	2.29905	0.88081	0.62829	7.84047	11.74976	0.13625	1.58608	0.10971	0	0	0.00567	0.18073	1.34554	0.69104	0.28186	0.04034	0.8451	0.06891	1.59996	0.66526	0.17128	0.36406	0.03752	0.30413	0.73016	0	0.21117	0.27762	0.48305	5.41436	2.08368	5.67472	0.02871	0.07773	0.59307	0.0607	49.41839	1.43278	0.69339	0	0	11.19073	0	1.59714	0.02729	0.23275	0.26905	0.00531	0	2.32713	21.29045	0.00239	0.45017	0.10757	0.02321	0.60718	0.3014	0.10502	0.12175	0.33661	0.22854	0.02561	0.06716	0.25479	0.00544	0.12736	0.20926	0.00911	0.69044	0.30496	0
Coprobacter_fastidiosus	0.15426	0	0	0	0	0	0	0.77566	0.12967	0	0	0	0	0	0.02138	0	0	0	0	0.19803	0	0	0	0	0.45435	0	0	0.12225	0	0	0.45263	0	0.06447	0	0.72904	0	0	0	0	0	0.47043	0	0	0	0	0	0	0	0.03518	0	0	0	0	0	0	0	0	0	0	0	0.10513	0	0.35289	0	0	0.18854	0	0	0	0	0	0	0.88328	0.14319	0.1901	0	0
Dielma_fastidiosa	0.14998	0	0	0	0.00192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraprevotella_clara	0.13887	0.82925	0	0	0.00923	0	0	0	0	1.33752	0	0	0.34416	0	0	0	0	0	7.33688	0.54893	0.36793	0	0	0	0.24542	0	0.24662	0	0	0.36672	0	0	0.10406	0	0	0	0	0	0	0.08921	0	1.8241	0	0	0.42544	0	0	0	0	2.0681	0	0	0.8958	1.07363	0	0.2468	0	0	0	0.25208	0.04541	0	0	0.52243	0.28547	0.57687	0	0.12709	0.21791	0.78201	0.52094	0.13927	0.47032	1.47024	0	0	0
