name	A1	A10	A11	A14	A20	A22	A23	A24	A25	A26	A27	A29	A30	A31	A34	A35	A36	A38	A4	A41	A47	A51	A54	A55	A58	A60	A61	A62	A66	A68	A69	A71	A76	A78	A80	DP1	DP13	DP18	DP2	DP24	DP26	DP27	DP28	DP3	DP33	DP34	DP35	DP36	DP40	DP41	DP43	DP44	DP45	DP46	DP47	DP49	DP52	DP55	DP57	DP60	DP64	DP65	DP67	DP69	DP72	DP73	DP75	DP77	DP8	DP9
Fusicatenibacter_saccharivorans	0.82591	0.602007	0.263063	0.271595	0.916239	1.134395	0.73998	2.563007	0.670445	0.337732	0.642218	0.229081	0	0.586122	0.09894	1.620914	0.50105	0.077717	0.169497	0.138698	0.060604	0.325976	3.501482	0.367516	0.10395	1.164765	0.11075	0	3.012775	1.266239	1.000721	0.295924	0.324739	0.776435	0.308436	0	0	0	0	0	0	0	0	0	0.80929	0	0	0	0	0	0	0	0.025241	0	0	0	0.024452	0	0	0	0	0	0	0	0	0	0.142716	0	0.224328	0
Clostridium_sp_AM33_3	0.824732	0	0	0	0.021304	0.280991	0.981512	0.138542	0	0	0.104322	0.053438	0	0	0.056318	0	0	0.080756	0.33339	0.301544	0.154507	0.019304	0.047542	0.962991	0.001437	0.016826	0.002649	0	0.033609	0.048119	0.023969	0	0.044359	1.114172	0	0	0	0	0	0	0	0	0	0	0.53717	0	0	0	0	0	0	0	0.091343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.130992	0
Ruminococcus_bromii	0.806739	0	1.120725	1.937145	0	4.444701	0	4.497102	0.562861	0	0.837884	0	0	0	0	0	0	0	0	0.034793	0	0	2.962394	0.837811	0	3.218756	0.279063	0	0	0.170304	2.724423	1.103337	0	0	0	0	0	0.25763	0	0	0	0	0	0	0.330594	0	0	0	0	0	1.485869	0	7.608102	0	0	0	0.526854	0	1.053583	0.25321	0	0.664548	0	0	0	0	0.22832	0	0.277096	0
Alistipes_onderdonkii	0.797868	0	0	0.925111	2.653299	0.674708	0	0.036388	0.505985	0.132662	0	0.15231	0	0	0	0.575026	0	0	0.347742	0.083588	0.001776	0.599556	0	0	0	0.957037	5.098015	0	0.00913	0.109902	1.055405	0	0	0	0.418974	0	0	1.656387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.264684	0.026474	0	0	0.57161	0	0.579381	0	0	0.516311	0	0	0	0	0.211289	0.022983	0	0
Blautia_wexlerae	0.789347	0.383757	0.130189	0.289792	0.87135	0.721125	0.273781	1.11663	0.248338	0.117385	0.240875	0.130694	0	0.45273	0.113583	2.569872	5.877146	0.040794	0.307702	0.845572	0.164035	1.121983	1.059219	0.618854	0.146891	1.007035	0.021217	0.894101	1.120612	1.032737	0.866792	0.174949	0.423453	0.224206	0.813094	0	0	0.221185	0	0	0	0	0	0	0.826029	0.255969	0	0	0	0	0	0	0.032336	0.42907	0	0	0.035859	0	0.003069	0.21411	0	0	0.228646	0.116161	0	0	1.669835	0.085593	1.223781	0
Clostridium_sp_AT4	0.789117	0	0	0	0.00458	0	0.367372	0	0	0	0	0	0	0.060709	0.029118	2.005655	0.291055	0	0	0.025138	0.244834	2.67068	0	1.153679	0	0	0	1.483935	0.122802	0	0	0.193124	0.047155	2.734427	0.754618	0	0	0	0	2.676638	0	0	0	0	0	0	0	0	0	0	0	0	0.013541	0	0	0	0	0	0	0	0	0	0	0	17.23487	0.045798	0.037529	0.181852	0	0
Parabacteroides_distasonis	0.783071	0	0.837819	0.174165	0.124855	0.075132	0.060581	0.02105	0.534574	0.187894	0.171674	0.45486	0.712141	0.925666	0.16378	2.603693	0.252041	0.371612	0.024879	0.034242	0.197054	0.20843	0.031396	0.156569	0.104744	0.090129	0.081348	0.933804	0.193932	0.029008	0.294959	1.313799	0.120174	0	4.724194	0	0	2.909904	0	0.023664	0	0	0	0	0	0.008088	0	12.206796	0	0	0.007308	0	0	7.812681	0	0	1.147438	0	0.661051	0.00823	4.982188	1.794414	0.305287	0	3.820845	0.015618	0.977666	0.668252	1.000673	0
Dorea_formicigenerans	0.682156	0	0.109657	0.156015	0	0.067905	0	0.313664	0.023543	0.043613	0.072378	0.018101	0	0.038148	0	0.174551	0	0.012458	0.191926	0.113432	0.04324	0.079773	0.413597	0.070533	0.246006	0.092275	0	0	0.190314	0.18154	0.207197	0	0.015298	0.045826	0.060646	0	0	0.046099	0	0	0	0	0	0	0.092798	0.066667	0	0	0	0	0	0	0.004482	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01021	0	0.153426	0
Candidatus_Cibionibacter_quicibialis	0.551106	0	3.92634	0.794624	1.009315	0	0	9.750797	2.588765	2.106088	0.816553	0.048824	0	0	0	1.169522	0	0.035454	0.519076	0.2384	0	0.270715	0.736862	0	0.044023	2.267646	0.108945	0	0	3.992624	0.604282	0.055906	0	0.076214	0	0	0	0	0	0	0	0	0	0	0.56137	6.456211	0	0	0	0	0	0	0.060892	0.247799	0.239744	0	1.931099	0	0	0	0	1.859761	0	0	0	0	0	0	0.729524	0
Clostridiaceae_bacterium_Marseille_Q3526	0.530483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.584746	0	0	0	0.058154	0	0	0.445932	0	0	0	0.108501	0.221199	0	0.058439	0.043493	0.00747	0.537788	0.016008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lachnospiraceae_bacterium_AF58_1A	0.417164	0	0.121653	0.004677	0.100445	0	0	0.712031	0	0.150004	0.144752	0.077533	0	0	0.105188	0	0	0	0.034815	0.072018	0.04382	0	0.10318	0	0.012644	0.071167	0.08654	0	0	0.013353	0.068568	0.171294	0	0.125734	0	0	0	0	0	0	0	0	0	0	0.64579	0	0	0	0	0	0	0	0.298877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.130569	0
Anaerotignum_faecicola	0.408926	0	0.324151	0	0.733209	0	0.238831	0	0	0.130661	0.041702	0.031346	0	0.196777	0	0.211401	0	0.164672	0.247071	0	0.540569	1.925325	0	0	0.242525	0.036616	0.000844	0	0.152112	0.140113	0.182577	0.202986	0.062108	0.228852	0	0	0	0	0	0	0	0	0	0	0.091032	0	0	0	0	0	0	0	0	0	0	0	0.014638	0	0	0	0	0	0	0	0	0	0	0	0.419237	0
Eubacterium_ventriosum	0.377448	3.013855	0	0.674318	0	0	0	0	0.02361	1.027547	0.188499	0	0	0	0	0	0.46955	0.509357	0	0.01474	0.126849	0.111528	1.415701	0.080238	0	0.131361	0.176984	0	0.172117	0.074682	3.520076	0.331518	0.216519	0.008489	0	0	0	0	0	0	0	0	0	0	0.173959	0.734045	0	0	0	0	0	0	0.013628	0	0	0	0.007692	0	0.019118	0	0	0	0	0	0	0	0	0	4.046747	0
Clostridium_SGB4750	0.377181	0	0.176866	0	0.034811	0	0.334307	0.136241	0.770543	0.182953	0	0	0	0.037503	0	0	0	0.018583	0.03766	0.180516	0.099675	0	1.181027	0	0.016386	0.022091	0	0	0.062483	0.010538	0.047116	0.049736	0.063231	0.045283	0.486819	0	0	0.074797	0	0	0	0	0	0	0.006073	0.052575	0	0	0	0	0	0	0.071741	0	0	0	0	0	0.021286	0	0	0	0	0	0	0	0	0	0.172104	0
Coprococcus_comes	0.376849	0	0.315614	0.146908	0.064042	0	0.216396	0.312471	0	0.167816	0	0.012915	0	0.08683	0.071901	0	0	0.094971	0.227142	0.350045	0.053567	0.113449	1.266773	0.098911	0.029982	0.066677	0.032379	0.527037	0.478591	0.450687	0.318084	0.11145	0.122621	0.243708	0.10483	0	0	0.049047	0	0	0	0	0	0	0.102829	0.01708	0	0	0	0	0	0	0.190306	0	0	0	0.033185	0	0	0	0	0	0	0	0	0	0.004756	0	0.82179	0
Simiaoa_sunii	0.362484	0	0.052278	0.04966	0	1.284195	0.018801	0.005187	0	0.406703	3.814147	0.656042	0	0	0	0	0	0	1.168852	0.316263	1.084461	0.040299	0	0	0.409731	0.00804	0	0	0.257408	0.052399	6.605702	0.020713	0	0.003846	0	0	0	0	0	0	0	0	0	0	0.004561	0.022495	0	0	0	0	0	0	0	0	0	0	0	0	0.279131	0	0	0	0	0	0	0	0	0	0	0
Hominilimicola_fabiformis	0.300759	1.35469	0.010923	0.087663	0.123057	0.177155	0.039619	0.196396	0.160505	0	0.076258	0.029319	0.019011	0.082461	0.035344	0.832157	0.189209	0.524212	0.706178	0.154477	0.014975	0.04668	0.393282	0.164344	0	0.02544	0.063591	0	0.305103	0.403861	0.207617	0.190709	0.665841	0	0.01978	0	0	0.070595	0	0	0	0	0	0	0.089708	0.03024	0	0	0	0	0.017411	0	0	0	0	0	0	0	0	0.05147	0	0	0	0	0	0	0	0.000753	0.156051	0
Blautia_massiliensis_ex_Durand_et_al_2017	0.269087	0	0.026611	0.125225	0.382152	0	0.4036	1.211872	0	0.061415	0.06687	0.002487	0	0.105448	0.035726	0.265203	0	0.115913	0.140874	0.523028	0.155794	0.101218	1.189025	0	0.08951	0.892026	0.332387	0	1.579801	0.530663	0.055013	0	0.11719	0.061457	0.200094	0	0	1.077518	0	0.068066	0	0	0	0	0.372415	0.042105	0	0	0	0	0	0	0.123255	0	0	0	0.001708	0	0	0.0677	0	0.033857	0	0.171713	0	0	0.083717	0	0	0
Faecalicatena_fissicatena	0.198912	0	0.124842	0.057527	0.317344	0	0	2.207504	0	0.12818	0.081233	0.078029	0	0.024449	0	0.41569	0	0.069451	0.278056	0.046047	0.086872	0.084035	0.862245	0.057166	0.02133	0.105943	0.068611	0	0.619879	0	0.387993	0.246431	0.211511	0.628671	0.267161	0	0	0.032698	0	0	0	0	0	0	0.063878	0.00975	0	0	0	0	0	0	0.273122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dialister_invisus	0.158774	1.839301	0	0	0	5.732489	0	0.660701	0	0	0	0	0	0	1.707261	0	1.099602	0	2.588451	0	0	0	0.014708	0.001258	0.005015	2.174686	0	0	0	0	0	0	0	0	0	0	0	0	0.023274	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neopoerus_faecalis	0.135478	0	0.005905	0	0.02814	0	0	0	0.097757	0.115972	0.000528	0.015833	0	0.29852	0.252864	0	0	0.007655	0.06119	0.002838	0.024457	0.017969	0.05005	0	0	0.015775	0	0	0	0.002068	0	0	0.069238	0.017922	0.296073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00335	0
Odoribacter_splanchnicus	0.120605	0	0.002984	0.070465	0.150434	0.09735	0	0.016922	0.292248	0.137253	0.073322	0.042997	0	0	0.129469	0	0	0	0.035947	0.016805	0.049419	0.016942	0	0	0.082319	0	0	0	0.289707	0.013373	0	0.271598	0	0	0	0	0	0	0	0	0	0	0	0	0.09024	0	0	0.597824	0	0	0	0	0	0	0	0	0.521148	0	0.513106	0	0	0.187085	0	0	0	0	0.017975	0.880818	0.181559	0
Coprococcus_catus	0.115663	0	0.070243	0.096336	0.080843	0	0.011686	0.331673	0	0.065205	0.104521	0.01743	0	0	0	0	0	0	0.252511	0.206458	0.041035	0	0.461209	0	0.085153	0.122086	0.021516	0	0	0.149373	0.232651	0	0	0.214151	0.142426	0	0	0.173799	0	0	0	0	0	0	0.118932	0.022293	0	0	0	0	0	0	0	0	0	0	0.046728	0	0	0	0	0	0	0	0	0	0	0	0.200308	0
GGB3109_SGB4121	0.105256	0.34763	0	0	0	0	0	0	0	0	0	0	0.01743	0	0	0	0	0.009399	0.019738	0	0	0.05769	0.191527	0.018859	0	0	0	0.096636	0.0269	0	0	0	0.019552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.050744	0	0.082452	0	0.041674	0	0	0.017904	0	0	0	0	0.025284	0	0.215414	0
Streptococcus_salivarius	0.100947	0.099668	0.251372	0.012828	0.002908	0	0	0.051687	0.000621	0	0.009443	0.021752	0	0	0	0.001916	0.006187	0.0504	0	0.029899	0	0	0.267371	0	0	0	0	0	0.094485	0.128732	0.021136	0	0	0.026307	0.012912	0	0	0	0	0	0	0	0	0.057969	0.183655	0	0	0	0	0.043766	0.365181	0	1.02156	0	0	0	0.428805	0	1.138896	0.32096	0	0	1.111774	0.126368	0.013224	0	4.584667	0.005013	0	7.143463
Coprobacter_fastidiosus	0.099188	0	0	0.007227	0	0	0	0	0	0	0	0	0.579654	0	0.327264	0	0	0	0	0.001763	0.001963	0.991792	0	0	0	0.653383	0	0	0.043372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018651	0	0	0.19447	0	0	0	0	0	0	0	0	0	0
Clostridium_symbiosum	0.086435	0.260921	0	0	0.033836	0	0.004223	0	0	0	0.018031	0	0.823713	0.358082	0.022298	0.010977	0.025553	0.007149	0	0	0	0.006382	0	0.009135	0	0	0.003039	0.06238	0	0	0.006649	0.000819	0	0	0	0	0	0	0	0	0	0	0	0	0.012427	0	0	0	0	0	0.006691	0	0	0	0	0	0.072911	0	0.502239	0.17364	0	0.258994	0	2.788463	0.002133	0	0.015902	0.323165	0	0
Flavonifractor_plautii	0.076517	2.805177	0.023432	0	0.173246	0.222201	0.410246	0	0.755852	0.007508	0.097914	0	0.804229	0.881722	0.107775	0.510612	0.298161	0.073957	0.002496	0.0048	0.109552	0.621808	0.040398	0.326765	0.013295	0.023472	0.009417	0.91357	0.194203	0.222071	0.010675	0.258421	0.00498	0.212593	0.696597	0	0.064134	0.411498	0	0.728877	0	0	0	0	0.046435	0.485732	0	2.487992	0	0	0.087198	0	0.070615	0	0.193615	0	0.363628	0	0.005763	0	2.707563	0.872012	14.960478	0.014518	1.732745	0	0.132667	0.205908	0.207192	0
Haemophilus_parainfluenzae	0.076143	0	0	0.018261	0	0.504751	0	0.007166	0	0.191216	0	0.006885	0	0	0.002251	0	0.301314	0.021011	0.057378	0	0	0	0.125623	0	0.047705	0.032974	0	0.27783	0.10367	0	0	0.018365	0.012154	0	0.011921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.051921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anthropogastromicrobium_aceti	0.053652	0	0.023103	0	0.031162	0	0.067522	0.061788	0.005628	0.023503	0.141478	0.03613	0	0.084311	0.064302	0.296806	0.081134	0.111338	0.43087	0.044737	0.004163	0.085597	0.292905	0.092353	0.046904	0.532003	0.035825	0	0.830618	0.005302	0.760779	0.126706	0.484548	0.030533	0.107794	0	0	0	0	0	0	0	0	0	0.044195	0	0	0	0	0	0	0	0.028533	0	0	0	0	0	0.020932	0	0	0	0	0	0	0	0	0	0.150475	0
Blautia_obeum	0.048666	0.070153	0.101347	0.0719	0.425076	0	0.092945	0.553614	0.194355	0.000345	0.019869	0.014667	0	0	0.089963	0.998573	0	0	0.209531	0.055873	0.034422	0.008062	0.962208	0	0.039177	0.578627	0.262654	0	0.424074	0.237639	0.562961	0.08872	0.260621	0.032839	0.137338	0	0	0	0	0	0	0	0	0	0.419446	0	0	0	0	0	6.151868	0	0.033785	0	0	0	0.050595	0	0	0.00862	0	0	0	0	0	0	0	0.001294	0.062965	0
Bifidobacterium_longum	0.048619	0	0	0.009765	0	0	0.042679	0.397073	0	0	0.09434	0	0	0.121902	0	4.155144	0	0	0	0	0	0	0.027908	0	0	0.42059	0	0.35347	0.156916	0.190051	0	0	0.00959	0.24122	0.064981	0	0	0	0	0	0	0	0	0	0	0.63892	0	0	0	0.506912	0	0	0	0	0	0	0	0	0	0	0	0.016262	0.024557	0.311741	0	0.012888	0	0	0.272591	0
GGB55957_SGB77276	0.044164	0.003763	0	0	0	0	0	0	0	0	0	0	0.024075	0.016185	0.006624	0.002088	0.01642	0.003493	0	0	0	0	0	0.021486	0	0	0	0.027466	0	0	0	0	0.002591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00226	0	0	0	0	0	0	0	0	0	0	0
